Experiment Name,Position,SampleName,ASO Short Description ,CrossingPoint,CrossingPoint,dCt,,Avg,SD,ddCt,Avg_ddCt,Exp,,,
ASO1-95_MT_1.2-6_20210630,D2,ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,36.95467987,26.86990819,10.08,,,,2.15,,,,,
ASO1-95_MT_1.2-6_20210630,D3,ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,39.22553371,26.96137321,12.26,,,,4.33,,,,,
ASO1-95_MT_1.2-6_20210630,D4,ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,36.49475491,26.38783768,10.11,,,,2.17,3.24,0.11,,,
ASO1-95_MT_1.2-6_20210630,D5,ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,37.14122536,26.3456214,10.80,,,,2.86,,,,,
ASO1-95_MT_1.2-6_20210630,D6,ASO8_10,KQ373_L20_5-10-5_10uM_P1.2-1,39.10204682,26.4825884,12.62,,,,4.68,,,,,
ASO1-95_MT_1.2-6_20210630,D7,ASO8_3,KQ373_L20_5-10-5_3uM_P1.2-1,35.4876257,25.43300348,10.05,,,,2.12,1.91,0.27,,,
ASO1-95_MT_1.2-6_20210630,D8,ASO8_3,KQ373_L20_5-10-5_3uM_P1.2-1,35.03008074,25.4296842,9.60,,,,1.66,,,,,
ASO1-95_MT_1.2-6_20210630,D9,ASO8_3,KQ373_L20_5-10-5_3uM_P1.2-1,35.39342469,25.49435516,9.90,,,,1.96,,,,,
ASO1-95_MT_1.2-6_20210630,D10,ASO8_3,KQ373_L20_5-10-5_3uM_P1.2-1,34.76264412,24.96303948,9.80,,,,1.86,2.17,0.22,,,
ASO1-95_MT_1.2-6_20210630,D11,ASO8_3,KQ373_L20_5-10-5_3uM_P1.2-1,34.91536807,24.96071261,9.95,,,,2.02,,,,,
ASO1-95_MT_1.2-6_20210630,D12,ASO8_3,KQ373_L20_5-10-5_3uM_P1.2-1,35.55429168,24.98873958,10.57,,,,2.63,,,,,
ASO1-95_MT_1.2-6_20210630,D13,ASO14_10,KQ387_L20_5-10-5_10uM_P1.2-1,35.22884055,27.59330637,7.64,,,,-0.30,-0.22,1.16,,,
ASO1-95_MT_1.2-6_20210630,D14,ASO14_10,KQ387_L20_5-10-5_10uM_P1.2-1,35.61959069,27.61358321,8.01,,,,0.07,,,,,
ASO1-95_MT_1.2-6_20210630,D15,ASO14_10,KQ387_L20_5-10-5_10uM_P1.2-1,35.23792307,27.71123186,7.53,,,,-0.41,,,,,
ASO1-95_MT_1.2-6_20210630,D16,ASO14_10,KQ387_L20_5-10-5_10uM_P1.2-1,35.10375584,26.98052577,8.12,,,,0.18,0.05,0.97,,,
ASO1-95_MT_1.2-6_20210630,D17,ASO14_10,KQ387_L20_5-10-5_10uM_P1.2-1,34.89723002,26.90032464,8.00,,,,0.06,,,,,
ASO1-95_MT_1.2-6_20210630,D18,ASO14_10,KQ387_L20_5-10-5_10uM_P1.2-1,34.88847697,27.03844733,7.85,,,,-0.09,,,,,
ASO1-95_MT_1.2-6_20210630,D19,ASO14_3,KQ387_L20_5-10-5_3uM_P1.2-1,32.94476315,24.69593667,8.25,,,,0.31,0.29,0.82,,,
ASO1-95_MT_1.2-6_20210630,D20,ASO14_3,KQ387_L20_5-10-5_3uM_P1.2-1,32.93605788,24.68873135,8.25,,,,0.31,,,,,
ASO1-95_MT_1.2-6_20210630,D21,ASO14_3,KQ387_L20_5-10-5_3uM_P1.2-1,32.98282584,24.78944024,8.19,,,,0.25,,,,,
ASO1-95_MT_1.2-6_20210630,D22,ASO14_3,KQ387_L20_5-10-5_3uM_P1.2-1,32.56128419,23.9767486,8.58,,,,0.65,0.57,0.67,,,
ASO1-95_MT_1.2-6_20210630,D23,ASO14_3,KQ387_L20_5-10-5_3uM_P1.2-1,32.51025545,23.96577844,8.54,,,,0.61,,,,,
ASO1-95_MT_1.2-6_20210630,D24,ASO14_3,KQ387_L20_5-10-5_3uM_P1.2-1,32.46072339,24.0501207,8.41,,,,0.47,,,,,
ASO1-95_MT_1.2-6_20210630,E1,ASO9_10,KQ372_L20_5-10-5_10uM_P1.2-1,36.83233519,25.9214713,10.91,,,,2.97,2.24,0.21,,,
ASO1-95_MT_1.2-6_20210630,E2,ASO9_10,KQ372_L20_5-10-5_10uM_P1.2-1,35.98858208,25.9206809,10.07,,,,2.13,,,,,
ASO1-95_MT_1.2-6_20210630,E3,ASO9_10,KQ372_L20_5-10-5_10uM_P1.2-1,35.45847925,25.91031425,9.55,,,,1.61,,,,,
ASO1-95_MT_1.2-6_20210630,E4,ASO9_10,KQ372_L20_5-10-5_10uM_P1.2-1,35.68987794,25.78403953,9.91,,,,1.97,1.91,0.27,,,
ASO1-95_MT_1.2-6_20210630,E5,ASO9_10,KQ372_L20_5-10-5_10uM_P1.2-1,35.89753658,25.76711457,10.13,,,,2.19,,,,,
ASO1-95_MT_1.2-6_20210630,E6,ASO9_10,KQ372_L20_5-10-5_10uM_P1.2-1,35.29226702,25.7835212,9.51,,,,1.57,,,,,
ASO1-95_MT_1.2-6_20210630,E7,ASO9_3,KQ372_L20_5-10-5_3uM_P1.2-1,33.97327236,25.06340788,8.91,,,,0.97,1.30,0.41,,,
ASO1-95_MT_1.2-6_20210630,E8,ASO9_3,KQ372_L20_5-10-5_3uM_P1.2-1,34.6403435,25.03788509,9.60,,,,1.66,,,,,
ASO1-95_MT_1.2-6_20210630,E9,ASO9_3,KQ372_L20_5-10-5_3uM_P1.2-1,34.28797311,25.07266584,9.22,,,,1.28,,,,,
ASO1-95_MT_1.2-6_20210630,E10,ASO9_3,KQ372_L20_5-10-5_3uM_P1.2-1,33.69717592,24.11287229,9.58,,,,1.65,1.59,0.33,,,
ASO1-95_MT_1.2-6_20210630,E11,ASO9_3,KQ372_L20_5-10-5_3uM_P1.2-1,33.65300455,24.15255615,9.50,,,,1.56,,,,,
ASO1-95_MT_1.2-6_20210630,E12,ASO9_3,KQ372_L20_5-10-5_3uM_P1.2-1,33.6729084,24.15813201,9.51,,,,1.58,,,,,
ASO1-95_MT_1.2-6_20210630,E13,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,32.47767308,24.74503511,7.73,,,,-0.21,-0.29,1.22,,,
ASO1-95_MT_1.2-6_20210630,E14,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,32.22734523,24.78321912,7.44,,,,-0.49,,,,,
ASO1-95_MT_1.2-6_20210630,E15,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,32.59878371,24.8167396,7.78,,,,-0.16,,,,,
ASO1-95_MT_1.2-6_20210630,E16,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,31.68602273,24.08582836,7.60,,,,-0.34,-0.35,1.27,,,
ASO1-95_MT_1.2-6_20210630,E17,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,31.74437072,24.06611771,7.68,,,,-0.26,,,,,
ASO1-95_MT_1.2-6_20210630,E18,ASO32_10,KQ908_L20_5-10-5_10uM_P1.2-1,31.65084776,24.15558664,7.50,,,,-0.44,,,,,
ASO1-95_MT_1.2-6_20210630,E19,ASO32_3,KQ908_L20_5-10-5_3uM_P1.2-1,31.41109093,23.95263043,7.46,,,,-0.48,-0.51,1.42,,,
ASO1-95_MT_1.2-6_20210630,E20,ASO32_3,KQ908_L20_5-10-5_3uM_P1.2-1,31.46346659,23.92144743,7.54,,,,-0.40,,,,,
ASO1-95_MT_1.2-6_20210630,E21,ASO32_3,KQ908_L20_5-10-5_3uM_P1.2-1,31.27634871,23.99039915,7.29,,,,-0.65,,,,,
ASO1-95_MT_1.2-6_20210630,E22,ASO32_3,KQ908_L20_5-10-5_3uM_P1.2-1,31.78591619,24.396242,7.39,,,,-0.55,-0.67,1.59,,,
ASO1-95_MT_1.2-6_20210630,E23,ASO32_3,KQ908_L20_5-10-5_3uM_P1.2-1,31.73336646,24.41355641,7.32,,,,-0.62,,,,,
ASO1-95_MT_1.2-6_20210630,E24,ASO32_3,KQ908_L20_5-10-5_3uM_P1.2-1,31.67681832,24.57958441,7.10,,,,-0.84,,,,,
ASO1-95_MT_1.2-6_20210630,F1,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,35.89955551,26.60014374,9.30,,,,1.36,1.97,0.26,,,
ASO1-95_MT_1.2-6_20210630,F2,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,36.90953861,26.54753201,10.36,,,,2.42,,,,,
ASO1-95_MT_1.2-6_20210630,F3,ASO10_10,KQ280_L20_5-10-5_10uM_P1.2-1,36.64578642,26.57700337,10.07,,,,2.13,,,,,
