Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore,Test plate #,Avg_plate,Min_plate,Max_plate
Rd2.1.3_P1+2_MT_20210730,F15,KQ332_10_P2.1-1,KQ332_L20_5-10-5_10uM_P2.1-1,8.81836328,1.572560794,0.33621108718046033,7.70747105,1.1108922300000001,0.46300759685772813,0.008826747792046744,0.6839490858150806,1.0,,,
Rd2.1.3_P1+2_WT_20210730,D1,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.67981914,1.555453131,0.34022165332178905,7.707525778333333,0.972293361666666,0.5096951881079854,0.04376323522795995,1.001356290500221,1.0,,,
Rd2.1.3_P1+2_WT_20210730,D2,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.642813910000001,1.5184479,0.3490612465210637,7.707525778333333,0.9352881316666677,0.5229380195127213,0.04376323522795995,0.7462842109345469,1.0,,,
Rd2.1.3_P1+2_WT_20210730,D3,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.465699940000004,1.341333924,0.3946555863962105,7.707525778333333,0.7581741616666706,0.5912441210196041,0.04376323522795995,0.5693694303368941,1.0,,,
Rd2.1.3_P1+2_WT_20210730,D13,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.396509620000003,1.272143607,0.41404411433889426,7.707525778333333,0.68898384166667,0.620290596137474,0.05980031149853949,1.1288377635000022,1.0,,,
Rd2.1.3_P1+2_WT_20210730,D14,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.67004567,1.545679665,0.34253429262357166,7.707525778333333,0.9625198916666671,0.5131598165244899,0.05980031149853949,0.9346235844715014,1.0,,,
Rd2.1.3_P1+2_WT_20210730,D15,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.414099109999999,1.289733092,0.409026694887904,7.707525778333333,0.7065733316666654,0.6127738633211999,0.05980031149853949,0.9840568920693727,1.0,,,
Rd2.1.3_P1+2_Total_20210730,D1,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.794889490000003,2.285019809,0.205182584913029,7.840800801666664,0.9540886883333384,0.5161675358479841,0.05567917391432214,0.21279076620015236,1.0,,,
Rd2.1.3_P1+2_Total_20210730,D2,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,9.145441749999996,2.635572077,0.16092138030775696,7.840800801666664,1.3046409483333319,0.40482184603783544,0.05567917391432214,1.3958556309704797,1.0,,,
Rd2.1.3_P1+2_Total_20210730,D3,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.964106990000001,2.454237319,0.18247398244096133,7.840800801666664,1.1233061883333368,0.4590406469715655,0.05567917391432214,0.8197726366126132,1.0,,,
Rd2.1.3_P1+2_Total_20210730,D13,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.500076929999999,1.990207251,0.25170272644936736,7.840800801666664,0.6592761283333344,0.6331959230982867,0.040401021909220444,1.0306536219269335,1.0,,,
Rd2.1.3_P1+2_Total_20210730,D14,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.488886079999997,1.979016406,0.2536627520336741,7.840800801666664,0.6480852783333324,0.6381266633541399,0.040401021909220444,1.0830434859976033,1.0,,,
Rd2.1.3_P1+2_Total_20210730,D15,KQ371_10_P2.1-1,KQ371_L20_5-10-5_10uM_P2.1-1,8.662398270000004,2.152528599,0.22491805806858964,7.840800801666664,0.8215974683333398,0.5658150795541401,0.040401021909220444,0.3147219258587079,1.0,,,
