Experiment Name,Position,SampleName,ASO Description ,Target SNP ID,CrossingPoint,CrossingPoint.1,dCt,Unnamed: 8,Avg,SD,ddCt,Avg_ddCt,Exp
R3.1 P1-1+P1-2_Total_20210826,K11,ASO566_3_R3.1P1-2,KQ2203_L20_6-09-5_3uM_R3.1P1-2,rs8113956,37.8359800317504,31.2919603940796,6.544019637670804,,,,0.8508508822341954,,
R3.1 P1-1+P1-2_Total_20210826,K12,ASO566_3_R3.1P1-2,KQ2203_L20_6-09-5_3uM_R3.1P1-2,rs8113956,38.5583955953911,31.1999917300819,7.358403865309196,,,,1.6652351098725875,,
R3.1 P1-1+P1-2_Total_20210826,N1,ASO567_10_R3.1P1-2,KQ2204_L20_6-08-6_10uM_R3.1P1-2,rs8113956,30.9632740584803,24.3338788156951,6.6293952427852005,,,,0.9362264873485922,1.071390944856092,0.4758599871300798
R3.1 P1-1+P1-2_Total_20210826,N2,ASO567_10_R3.1P1-2,KQ2204_L20_6-08-6_10uM_R3.1P1-2,rs8113956,31.175833601259,24.4309278827738,6.7449057184851995,,,,1.051736963048591,,
R3.1 P1-1+P1-2_Total_20210826,N3,ASO567_10_R3.1P1-2,KQ2204_L20_6-08-6_10uM_R3.1P1-2,rs8113956,31.3422583781912,24.4228802385835,6.919378139607701,,,,1.226209384171093,,
R3.1 P1-1+P1-2_Total_20210826,N4,ASO567_10_R3.1P1-2,KQ2204_L20_6-08-6_10uM_R3.1P1-2,rs8113956,30.8746758958564,24.2230804568968,6.6515954389596,,,,0.9584266835229913,0.9477877821664243,0.5184268045474629
R3.1 P1-1+P1-2_Total_20210826,N5,ASO567_10_R3.1P1-2,KQ2204_L20_6-08-6_10uM_R3.1P1-2,rs8113956,31.0025215723231,24.3945285920955,6.6079929802276,,,,0.9148242247909915,,
R3.1 P1-1+P1-2_Total_20210826,N6,ASO567_10_R3.1P1-2,KQ2204_L20_6-08-6_10uM_R3.1P1-2,rs8113956,31.0620034965234,24.3987223029015,6.6632811936218985,,,,0.9701124381852901,,
R3.1 P1-1+P1-2_Total_20210826,N7,ASO567_3_R3.1P1-2,KQ2204_L20_6-08-6_3uM_R3.1P1-2,rs8113956,30.2479933508244,23.9679848832478,6.2800084675766,,,,0.5868397121399918,0.6910260990928245,0.6194131432893198
R3.1 P1-1+P1-2_Total_20210826,N8,ASO567_3_R3.1P1-2,KQ2204_L20_6-08-6_3uM_R3.1P1-2,rs8113956,30.5860046419224,23.9735745656824,6.612430076239999,,,,0.9192613208033906,,
R3.1 P1-1+P1-2_Total_20210826,N9,ASO567_3_R3.1P1-2,KQ2204_L20_6-08-6_3uM_R3.1P1-2,rs8113956,30.3081530395372,24.0480070197655,6.2601460197717,,,,0.5669772643350912,,
R3.1 P1-1+P1-2_Total_20210826,N10,ASO567_3_R3.1P1-2,KQ2204_L20_6-08-6_3uM_R3.1P1-2,rs8113956,30.1931373614847,23.7244069003537,6.468730461130999,,,,0.7755617056943906,0.6721788222644914,0.6275582048876744
R3.1 P1-1+P1-2_Total_20210826,N11,ASO567_3_R3.1P1-2,KQ2204_L20_6-08-6_3uM_R3.1P1-2,rs8113956,30.1677866858513,23.8763865593831,6.291400126468201,,,,0.5982313710315923,,
R3.1 P1-1+P1-2_Total_20210826,N12,ASO567_3_R3.1P1-2,KQ2204_L20_6-08-6_3uM_R3.1P1-2,rs8113956,30.1601460819118,23.8242339364077,6.3359121455041,,,,0.6427433900674915,,
R3.1 P1-1+P1-2_Total_20210826,I13,ASO568_10_R3.1P1-2,KQ2205_L20_5-09-6_10uM_R3.1P1-2,rs8113956,34.1521058148635,25.5547510003738,8.597354814489705,,,,2.904186059053097,2.6850172618722596,0.15549959609569783
R3.1 P1-1+P1-2_Total_20210826,I14,ASO568_10_R3.1P1-2,KQ2205_L20_5-09-6_10uM_R3.1P1-2,rs8113956,33.8223872925189,25.6595440909515,8.162843201567398,,,,2.4696744461307896,,
R3.1 P1-1+P1-2_Total_20210826,I15,ASO568_10_R3.1P1-2,KQ2205_L20_5-09-6_10uM_R3.1P1-2,rs8113956,34.0613267660433,25.6869667301738,8.3743600358695,,,,2.681191280432892,,
R3.1 P1-1+P1-2_Total_20210826,I16,ASO568_10_R3.1P1-2,KQ2205_L20_5-09-6_10uM_R3.1P1-2,rs8113956,33.5353551685694,25.4198070377253,8.115548130844104,,,,2.4223793754074956,2.534388519595726,0.17261281490924973
R3.1 P1-1+P1-2_Total_20210826,I17,ASO568_10_R3.1P1-2,KQ2205_L20_5-09-6_10uM_R3.1P1-2,rs8113956,33.8155369312239,25.5424745584633,8.273062372760602,,,,2.579893617323994,,
R3.1 P1-1+P1-2_Total_20210826,I18,ASO568_10_R3.1P1-2,KQ2205_L20_5-09-6_10uM_R3.1P1-2,rs8113956,33.7348279034063,25.440766581914,8.294061321492297,,,,2.6008925660556885,,
R3.1 P1-1+P1-2_Total_20210826,I19,ASO568_3_R3.1P1-2,KQ2205_L20_5-09-6_3uM_R3.1P1-2,rs8113956,37.644179577235,30.5405556882506,7.1036238889844014,,,,1.410455133547793,0.9728765473577244,0.509489193866937
R3.1 P1-1+P1-2_Total_20210826,I20,ASO568_3_R3.1P1-2,KQ2205_L20_5-09-6_3uM_R3.1P1-2,rs8113956,36.4464330193591,30.5884582771542,5.857974742204899,,,,0.1648059867682905,,
R3.1 P1-1+P1-2_Total_20210826,I21,ASO568_3_R3.1P1-2,KQ2205_L20_5-09-6_3uM_R3.1P1-2,rs8113956,37.688764779481,30.6522275022873,7.036537277193698,,,,1.3433685217570899,,
R3.1 P1-1+P1-2_Total_20210826,I22,ASO568_3_R3.1P1-2,KQ2205_L20_5-09-6_3uM_R3.1P1-2,rs8113956,32.4966167229288,25.5868641698618,6.909752553066998,,,,1.2165837976303893,1.4539063755594233,0.3650316908152978
R3.1 P1-1+P1-2_Total_20210826,I23,ASO568_3_R3.1P1-2,KQ2205_L20_5-09-6_3uM_R3.1P1-2,rs8113956,32.7920647223283,25.5941070230084,7.197957699319897,,,,1.5047889438832884,,
R3.1 P1-1+P1-2_Total_20210826,I24,ASO568_3_R3.1P1-2,KQ2205_L20_5-09-6_3uM_R3.1P1-2,rs8113956,33.0088510988532,25.675335958252,7.3335151406012,,,,1.6403463851645919,,
R3.1 P1-1+P1-2_Total_20210826,J13,ASO569_10_R3.1P1-2,KQ2206_L20_6-09-5_10uM_R3.1P1-2,rs8113956,33.2230800582071,25.8933977919984,7.329682266208703,,,,1.6365135107720947,1.5884886179305602,0.33251962207431546
R3.1 P1-1+P1-2_Total_20210826,J14,ASO569_10_R3.1P1-2,KQ2206_L20_6-09-5_10uM_R3.1P1-2,rs8113956,33.3187399197239,25.9807421196185,7.337997800105402,,,,1.6448290446687936,,
R3.1 P1-1+P1-2_Total_20210826,J15,ASO569_10_R3.1P1-2,KQ2206_L20_6-09-5_10uM_R3.1P1-2,rs8113956,33.2206298773974,26.04333782361,7.177292053787401,,,,1.4841232983507924,,
R3.1 P1-1+P1-2_Total_20210826,J16,ASO569_10_R3.1P1-2,KQ2206_L20_6-09-5_10uM_R3.1P1-2,rs8113956,35.9022441102253,30.9148964228086,4.9873476874166975,,,,-0.7058210680199108,1.1081399851114577,0.4638917245054394
R3.1 P1-1+P1-2_Total_20210826,J17,ASO569_10_R3.1P1-2,KQ2206_L20_6-09-5_10uM_R3.1P1-2,rs8113956,40,31.2273631696698,8.7726368303302,,,,3.079468074893591,,
