,Experiment Name,SampleName,ASO Microsynth ID,Delta Ct Mean,Delta Ct Naive Mean,ddCt,Avg Exp,Exp_std,Avg Exp_zscore
106,Exp_40_WT,KQJM069_10uM,KQJM069_10uM,6.794,6.5805,0.2135,0.862442393,0.012382570402319597,-0.7071067811865497
107,Exp_40_MT,KQJM069_10uM,KQJM069_10uM,7.69,7.537,0.153,0.899378312,0.05660934821305252,0.7071067811865476
108,Exp_40_WT,KQJM071_10uM,KQJM071_10uM,6.745,6.5805,0.1645,0.892237692,0.06190754234677792,0.7071067811865475
109,Exp_40_MT,KQJM071_10uM,KQJM071_10uM,7.609,6.8025,0.8065,0.571767293,0.09535301639571202,-0.7071067811865475
110,Exp_40_WT,KQJM071_10uM,KQJM071_10uM,7.093,6.7795,0.3135,0.804687206,0.06190754234677792,-0.7071067811865475
111,Exp_40_MT,KQJM071_10uM,KQJM071_10uM,8.038,7.537,0.501,0.706616822,0.09535301639571202,0.7071067811865475
112,Exp_40_WT,Naive,Naive,6.861,6.5805,0.2805,0.823305632,0.1616651608087086,-1.1527662148588351
113,Exp_40_WT,Naive,Naive,6.819,6.7795,0.0395,0.972992102,0.1616651608087086,-0.22686189972245552
114,Exp_40_MT,Naive,Naive,8.087,7.537,0.55,0.683020128,0.32181451327766786,-1.0993569732038277
115,Exp_40_MT,Naive,Naive,6.819,6.8025,0.0165,0.988628225,0.32181451327766786,-0.14971646790966361
116,Exp_40_MT,Naive,Naive,6.786,6.8025,-0.0165,1.01150258,0.32181451327766786,-0.0786371534094395
117,Exp_40_WT,Naive,Naive,6.74,6.7795,-0.0395,1.027757571,0.1616651608087086,0.11189673402425272
