,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt from Naive,Exp from Naive,Avg dCt Ionis676630,ddCt,Exp,Exp_std,Exp_zscore
72,Rd2.3_P7+8_WT_20210726,E8,KQJM154_3_P2.3-7,KQJM154_L17_5-08-4_3uM_P2.3-7,6.594318654194503,-0.1188967334188975,1.0859041256746338,7.254710719180776,-0.6603920649862722,1.5805120833414656,0.12715561067010708,1.8482184138686384
73,Rd2.3_P7+8_WT_20210726,F19,KQJM155_3_P2.3-7,KQJM155_L17_4-10-3_3uM_P2.3-7,6.8639861963754,0.1507708087620001,0.9007690675929066,7.254710719180776,-0.3907245228053755,1.3110516499293485,0.07203497409065869,1.8271026802170964
74,Rd2.3_P7+8_MT_20210726,O9,Ionis1375651_10_P2.3-8,Ionis1375651_10uM_P2.3-8,8.234166385778597,1.3669619814997924,0.38770682005037854,7.3127885538122674,0.9213778319663293,0.5280045137951869,0.22428052309956895,1.8136548062586002
75,Rd2.3_P7+8_MT_20210726,O15,Ionis676630_10_P2.3-8,Ionis676630_10uM_P2.3-8,6.999053173412396,0.1318487691335912,0.9126611534616732,7.3127885538122674,-0.31373538039987103,1.2429216708921147,0.1614751666429663,1.8085640549948268
76,Rd2.3_P7+8_MT_20210726,J9,BS190_3_P2.3-8,BS190_TMO_3uM_P2.3-8,6.7356349831668005,-0.1315694211120037,1.0954847652484967,7.3127885538122674,-0.5771535706454669,1.4919028269090215,0.13701664589259532,1.865922323897455
77,Rd2.3_P7+8_MT_20210726,N7,BS194_3_P2.3-8,BS194_TMO_3uM_P2.3-8,6.810242004495699,-0.0569623997831056,1.040273154065903,7.3127885538122674,-0.5025465493165688,1.416712042505161,0.1534376883111022,1.8946648984472385
78,Rd2.3_P7+8_WT_20210726,P17,Ionis676630_3_P2.3-8,Ionis676630_3uM_P2.3-8,8.4272181665381,1.6920072280194258,0.3094960221052486,7.407497028312001,1.0197211382260996,0.4932116770295477,0.4112480623788774,2.0046183515845484
79,Rd2.3_P7+8_WT_20210726,I7,BS189_3_P2.3-8,BS189_TMO_3uM_P2.3-8,6.193896869621199,-0.541314068897476,1.455297461546544,7.407497028312001,-1.2136001586908023,2.3191564683249037,0.25368956834002304,1.8560094849356175
80,Rd2.3_P7+8_WT_20210726,N3,BS194_10_P2.3-8,BS194_TMO_10uM_P2.3-8,7.1218803828422,0.386669444323525,0.7648933740922274,7.407497028312001,-0.28561664546980126,1.2189311552977757,0.07897623642614054,1.9287831872161663
81,Rd2.3_P7+8_WT_20210726,M4,BS199_10_P2.3-8,BS199_TMO_10uM_P2.3-8,7.840729879818202,1.1055189412995272,0.464735274705383,7.407497028312001,0.43323285150620094,0.7406003561954743,0.15676307435174208,1.8724561426124977
