,Experiment Name,Position,SampleName,ASO Microsynth ID,dCt,ddCt,Exp,Exp_std,Exp_zscore
2151,Rd2.3_P5+6_MT_20210726,G17,Ionis676630_3_P2.3-5,Ionis676630_3uM_P2.3-5,7.115542415258201,0.5956430970168336,0.6617494074413327,0.0355914432155014,0.4364195499216753
2152,Rd2.3_P5+6_MT_20210726,G18,Ionis676630_3_P2.3-5,Ionis676630_3uM_P2.3-5,7.2510905886868,0.7311912704454331,0.6024062860389404,0.0355914432155014,0.9498692003876941
2153,Rd2.3_P5+6_MT_20210726,H16,Ionis676630_3_P2.3-5,Ionis676630_3uM_P2.3-5,7.1933381769636995,0.6734388587223323,0.627010340661015,0.057567364756137114,0.37510462231135006
2154,Rd2.3_P5+6_MT_20210726,H17,Ionis676630_3_P2.3-5,Ionis676630_3uM_P2.3-5,7.269861259651002,0.7499619414096346,0.5946192434717666,0.057567364756137114,1.131778902033722
2155,Rd2.3_P5+6_MT_20210726,H18,Ionis676630_3_P2.3-5,Ionis676630_3uM_P2.3-5,7.021143635530699,0.5012443172893315,0.7064971680405269,0.057567364756137114,1.4817524487351001
2156,Rd2.3_P5+6_MT_20210726,E1,KQ473_10_P2.3-5,KQ473_L20_5-10-5_10uM_P2.3-5,8.953632714119003,2.433733395877636,0.18508586219759784,0.08963302280334941,0.68599960588478
2157,Rd2.3_P5+6_MT_20210726,E2,KQ473_10_P2.3-5,KQ473_L20_5-10-5_10uM_P2.3-5,8.147166935044805,1.6272676168034377,0.32370069836606696,0.08963302280334941,1.0913980923271098
2158,Rd2.3_P5+6_MT_20210726,E3,KQ473_10_P2.3-5,KQ473_L20_5-10-5_10uM_P2.3-5,8.022814846002898,1.5029155277615311,0.35283961960477833,0.08963302280334941,1.4650337937401754
2159,Rd2.3_P5+6_MT_20210726,E13,KQ473_10_P2.3-5,KQ473_L20_5-10-5_10uM_P2.3-5,8.846512751304498,2.326613433063131,0.1993515277792348,0.008850539420823955,0.5030771866897286
2160,Rd2.3_P5+6_MT_20210726,E14,KQ473_10_P2.3-5,KQ473_L20_5-10-5_10uM_P2.3-5,8.925268208468403,2.405368890227036,0.18876080178933924,0.008850539420823955,0.6388774553850293
2161,Rd2.3_P5+6_MT_20210726,E15,KQ473_10_P2.3-5,KQ473_L20_5-10-5_10uM_P2.3-5,8.979688650906802,2.4597893326654345,0.18177310586666026,0.008850539420823955,0.7284776381077456
